rho,validation_sd,m,repetitions,omega2,omega_rmse,excess_mse,excess_mse_mcse,total_mse,total_rmse,floor_share,excess_to_floor,finite_atlas_mse,finite_atlas_mse_mcse,constraint_rate
0.3,3.0,10,2000,91.0,9.539392014169456,19.83240780427966,0.5218118086202792,110.83240780427965,10.527697174799417,0.821059487949572,0.2179385472997765,nan,nan,0.316
0.3,3.0,20,2000,91.0,9.539392014169456,10.306218047525244,0.23885240881241063,101.30621804752523,10.065099008331972,0.8982666785301339,0.11325514337939828,nan,nan,0.1545
0.3,3.0,40,2000,91.0,9.539392014169456,5.363699800810647,0.12210053193944585,96.36369980081066,9.816501403290822,0.944339000973419,0.05894175605286425,nan,nan,0.051
0.3,3.0,80,2000,91.0,9.539392014169456,2.6096550575128377,0.0595717312436924,93.60965505751284,9.675208269464427,0.9721219455844646,0.02867752810453668,nan,nan,0.005
0.3,3.0,160,2000,91.0,9.539392014169456,1.2798548851397924,0.028644252165550926,92.2798548851398,9.606240413665473,0.9861307228242521,0.014064339397140576,nan,nan,0.0
0.3,3.0,320,2000,91.0,9.539392014169456,0.6566983390791538,0.01525043024849541,91.65669833907916,9.573750484479902,0.9928352389843922,0.007216465264606085,nan,nan,0.0
0.3,3.0,640,2000,91.0,9.539392014169456,0.31926567519486215,0.006895987375102759,91.31926567519487,9.556111430660218,0.9965038519217791,0.003508414013130353,nan,nan,0.0
0.44,3.0,10,2000,80.64,8.97997772825746,19.94029302268951,0.48103145234668676,100.58029302268952,10.028972680324218,0.8017475151102288,0.247275459110733,nan,nan,0.153
0.44,3.0,20,2000,80.64,8.97997772825746,9.987756944425742,0.22876454209786443,90.62775694442574,9.519861183043886,0.8897936208379252,0.12385611290210494,nan,nan,0.0385
0.44,3.0,40,2000,80.64,8.97997772825746,5.0131003238476675,0.11902501782946695,85.65310032384767,9.254896019072698,0.9414720505750109,0.06216642266676175,nan,nan,0.004
0.44,3.0,80,2000,80.64,8.97997772825746,2.331317473633567,0.05313039401997867,82.97131747363356,9.108859284983689,0.9719021278121274,0.02891018692501943,nan,nan,0.0
0.44,3.0,160,2000,80.64,8.97997772825746,1.129189504724705,0.025194584267160335,81.76918950472471,9.042631779782074,0.9861905258990067,0.014002846040732948,nan,nan,0.0
