scenario,scenario_label,status,reason,count
akm_dgp,AKM,unsupported,missing_mover_pairs,2
akm_dgp,AKM,unsupported,missing_stayer_classes,53
akm_dgp,AKM,unsupported,no_stayer_events,2
blm_grouped_dgp,BLM types,unsupported,missing_stayer_classes,53
crippa_tukey_dgp,Crippa/Tukey,unsupported,missing_stayer_classes,42
crippa_tukey_dgp,Crippa/Tukey,unsupported,no_stayer_events,1
gklp_perfect_information_dgp,GKLP,unsupported,missing_stayer_classes,49
gklp_perfect_information_dgp,GKLP,unsupported,missing_stayer_classes_and_mover_pairs,1
low_rank_factor_dgp,Low-rank factors,unsupported,missing_mover_pairs,4
low_rank_factor_dgp,Low-rank factors,unsupported,missing_stayer_classes,49
low_rank_factor_dgp,Low-rank factors,unsupported,missing_stayer_classes_and_mover_pairs,1
