scenario,scenario_label,estimator,procedure_label,estimand,estimand_label,native_target_type,native_target,project_target,target_gap,native_bias,native_rmse,project_bias,project_rmse
akm_dgp,AKM,kss_he,KSS-HE,q_f,$Q_F$,native_akm,1.0,1.0,0.0,0.0032319618645278336,0.048495947281438835,0.003231961864527699,0.04849594728143877
akm_dgp,AKM,kss_he,KSS-HE,c_assign,$C_{\mathrm{assign}}$,native_akm,0.41328844142345356,0.41328844142345345,1.1102230246251565e-16,-0.00014339191558337017,0.0314441819398463,-0.00014339191558333298,0.031444181939846313
akm_dgp,AKM,bs20,BS20,c_assign,$C_{\mathrm{assign}}$,native_bs20,0.8295022098309256,0.41328844142345345,0.41621376840747215,-0.27074523013974394,0.28684080424111075,0.14546853826772838,0.17251613363197865
crippa_tukey_dgp,Crippa/Tukey,kss_he,KSS-HE,q_f,$Q_F$,native_akm,1.1689917077201206,1.5624999999838263,-0.39350829226370565,-0.014763494182371953,0.0992769983906616,-0.4082717864460777,0.5244116978324043
crippa_tukey_dgp,Crippa/Tukey,kss_he,KSS-HE,c_assign,$C_{\mathrm{assign}}$,native_akm,0.5988310392508754,0.6016284002261622,-0.0027973609752867112,-0.006762776120629302,0.043917640769425406,-0.009560137095916039,0.17194211659392386
crippa_tukey_dgp,Crippa/Tukey,bs20,BS20,c_assign,$C_{\mathrm{assign}}$,native_bs20,1.4257809818897573,0.6016284002261622,0.8241525816635952,-0.48555777985433524,0.5538841267496386,0.3385948018092595,0.4253278278136645
blm_grouped_dgp,BLM types,kss_he,KSS-HE,q_f,$Q_F$,native_akm,1.2476903802848411,1.999999999981284,-0.7523096196964429,0.016751558147399433,0.09662418416916103,-0.7355580615490435,1.0673672427145364
blm_grouped_dgp,BLM types,kss_he,KSS-HE,c_assign,$C_{\mathrm{assign}}$,native_akm,0.3904677915297482,0.37605849493884613,0.014409296590902065,-0.0016333015370044862,0.04968920990043281,0.012775995053897607,0.18925184121812264
blm_grouped_dgp,BLM types,bs20,BS20,c_assign,$C_{\mathrm{assign}}$,native_bs20,0.9982299914184509,0.37605849493884613,0.6221714964796048,-0.2140800860343389,0.27748688974832836,0.4080914104452659,0.565894551464244
low_rank_factor_dgp,Low-rank factors,kss_he,KSS-HE,q_f,$Q_F$,native_akm,1.1225867334227275,2.2500000000019638,-1.1274132665792362,-0.00281409149056146,0.1160659582958866,-1.1302273580697975,1.1496485176345288
low_rank_factor_dgp,Low-rank factors,kss_he,KSS-HE,c_assign,$C_{\mathrm{assign}}$,native_akm,0.4413825923239936,0.45829315058749015,-0.016910558263496522,0.0009720475060082345,0.05077127483523737,-0.015938510757488228,0.11951963219007969
low_rank_factor_dgp,Low-rank factors,bs20,BS20,c_assign,$C_{\mathrm{assign}}$,native_bs20,0.9170700533430821,0.45829315058749015,0.45877690275559196,-0.33813864320070325,0.35883348851296126,0.12063825955488855,0.18976778345070347
gklp_perfect_information_dgp,GKLP,kss_he,KSS-HE,q_f,$Q_F$,native_akm,1.293464668854023,2.0339958706285794,-0.7405312017745564,0.011673540421028993,0.10350248102856649,-0.7288576613535274,0.7736706297476457
gklp_perfect_information_dgp,GKLP,kss_he,KSS-HE,c_assign,$C_{\mathrm{assign}}$,native_akm,0.48291251546825537,0.5628569740771879,-0.07994445860893257,-0.0019881334872352214,0.04780787742002167,-0.08193259209616797,0.1576126282178882
gklp_perfect_information_dgp,GKLP,bs20,BS20,c_assign,$C_{\mathrm{assign}}$,native_bs20,1.0143624866106713,0.5628569740771879,0.45150551253348337,-0.38831777118084504,0.4562607095581006,0.06318774135263826,0.21663133158704026
akm_dgp,AKM,blm_estimated,BLM,q_f,$Q_F$,blm_projection_project,1.003737958796214,1.0,0.0037379587962140803,0.3893036967892637,0.5726300627378792,0.39047254854798524,0.5369784696599067
akm_dgp,AKM,blm_estimated,BLM,h_f,$H_F$,blm_projection_project,0.0105078151070558,2.340318393557327e-31,0.0105078151070558,0.0018880916247200573,0.021142576999028426,0.01145316399237725,0.025423327827233562
akm_dgp,AKM,blm_estimated,BLM,rho_h,$\rho_H$,blm_projection_project,0.005739688950596006,1.1701591967786634e-31,0.005739688950596006,-0.0010443649777122444,0.00684100707433889,0.00409000686338613,0.007889789099875252
akm_dgp,AKM,blm_estimated,BLM,c_assign,$C_{\mathrm{assign}}$,blm_projection_project,0.25864595102364935,0.41328844142345345,-0.1546424903998041,0.03126672166296392,0.05754603078097708,-0.12317861748587176,0.13162393839470762
crippa_tukey_dgp,Crippa/Tukey,blm_estimated,BLM,q_f,$Q_F$,blm_projection_project,1.3360288212798326,1.5624999999838263,-0.2264711787039937,0.49540884166603305,0.7089884998826177,0.26926182422828077,0.5648832404836973
crippa_tukey_dgp,Crippa/Tukey,blm_estimated,BLM,h_f,$H_F$,blm_projection_project,0.5336236810543058,1.1249999999897595,-0.5913763189354537,-0.11267792272587872,0.2540600758919227,-0.7033526938037684,0.7323392901064404
crippa_tukey_dgp,Crippa/Tukey,blm_estimated,BLM,rho_h,$\rho_H$,blm_projection_project,0.19821986789201962,0.3600000000004495,-0.1617801321084299,-0.08530240369898039,0.09800196048313452,-0.24688909382253826,0.24995129192405888
crippa_tukey_dgp,Crippa/Tukey,blm_estimated,BLM,c_assign,$C_{\mathrm{assign}}$,blm_projection_project,0.36046956163450977,0.6016284002261622,-0.24115883859165238,0.052046200667950626,0.11292624824619336,-0.1845767177600026,0.31410256182684043
blm_grouped_dgp,BLM types,blm_estimated,BLM,q_f,$Q_F$,grouped_population_project,1.9999999999812814,1.999999999981284,-2.6645352591003757e-15,-0.005025383025259846,0.050684276237247874,-0.0050253830252626865,0.050684276237249436
blm_grouped_dgp,BLM types,blm_estimated,BLM,h_f,$H_F$,grouped_population_project,1.9999999999999967,1.9999999999999993,-2.6645352591003757e-15,-0.000412665874261674,0.07064559263764512,-0.00041266587426471135,0.0706455926376406
blm_grouped_dgp,BLM types,blm_estimated,BLM,rho_h,$\rho_H$,grouped_population_project,0.5000000000046789,0.5000000000046787,2.220446049250313e-16,0.0011667230521383895,0.012815087898620394,0.0011667230521383415,0.012815087898619966
blm_grouped_dgp,BLM types,blm_estimated,BLM,c_assign,$C_{\mathrm{assign}}$,grouped_population_project,0.37605849493884663,0.37605849493884613,4.996003610813204e-16,0.0023319702309635465,0.010641645925807021,0.002331970230963936,0.01064164592581026
low_rank_factor_dgp,Low-rank factors,blm_estimated,BLM,q_f,$Q_F$,blm_projection_project,1.036778261379273,2.2500000000019638,-1.2132217386226907,0.617167974369278,0.778885984690562,-0.5759105879982472,0.7502358470361469
low_rank_factor_dgp,Low-rank factors,blm_estimated,BLM,h_f,$H_F$,blm_projection_project,0.047776425134357856,2.4999999999967266,-2.452223574862369,0.02394563094138141,0.13345450105597048,-2.42830097002955,2.431482451907132
low_rank_factor_dgp,Low-rank factors,blm_estimated,BLM,rho_h,$\rho_H$,blm_projection_project,0.023763577645624413,0.5555555555543433,-0.5317919779087189,-0.004465491316977396,0.034304429480788524,-0.5366965939544893,0.537241157705639
low_rank_factor_dgp,Low-rank factors,blm_estimated,BLM,c_assign,$C_{\mathrm{assign}}$,blm_projection_project,0.27233621526872714,0.45829315058749015,-0.185956935318763,0.08748011841400702,0.1331200546658235,-0.10617724588136991,0.18500974708923043
gklp_perfect_information_dgp,GKLP,blm_estimated,BLM,q_f,$Q_F$,blm_projection_project,1.1674554879847667,2.0339958706285794,-0.8665403826438127,0.6095488563564505,0.8241676740411703,-0.24602098595205676,0.6215211192672907
gklp_perfect_information_dgp,GKLP,blm_estimated,BLM,h_f,$H_F$,blm_projection_project,0.04106642802896419,1.9999999999933022,-1.9589335719643381,0.04133383269011908,0.1591873183740862,-1.9192429156899804,1.9268289093681126
gklp_perfect_information_dgp,GKLP,blm_estimated,BLM,rho_h,$\rho_H$,blm_projection_project,0.017696355530656585,0.4925558528719143,-0.4748594973412577,0.0035879821629045705,0.027269722091188296,-0.4719245130635424,0.47340046394145885
gklp_perfect_information_dgp,GKLP,blm_estimated,BLM,c_assign,$C_{\mathrm{assign}}$,blm_projection_project,0.29234056537072556,0.5628569740771879,-0.2705164087064624,0.08045124286430459,0.1315966861227567,-0.1919910920578039,0.3214085104111593
